id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,gender,jobhome,age,commtime_f,commtime_m,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,gender_f,gender_m,jobhome_f,jobhome_m,age_f,age_m
1,25,-0.82372,-0.81187,1,0,0,0,1,0,0,25,0,-0.82372,0,-0.81187,0,1,0,0,0,0,0,1,0,0,0,0,0
2,30,2.46123,-0.92618,1,1,0,0,0,0,1,0,30,0,2.46123,0,-0.92618,0,1,0,1,0,0,0,1,0,0,0,1
3,25,0.30715,-2.04501,1,1,0,0,0,0,1,0,25,0,0.30715,0,-2.04501,0,1,0,1,0,0,0,1,0,0,0,1
4,30,2.53245,-2.667,1,1,0,0,0,1,0,0,30,0,2.53245,0,-2.667,0,1,0,1,0,0,0,1,0,1,0,0
5,50,0.48583,-1.76273,1,1,1,0,0,0,0,0,50,0,0.48583,0,-1.76273,0,1,0,1,0,1,0,1,0,0,0,0
6,40,1.71947,-1.5753,1,1,0,0,0,0,0,0,40,0,1.71947,0,-1.5753,0,1,0,1,0,0,0,1,0,0,0,0
7,40,-2.20221,-0.63494,1,1,0,0,0,0,0,0,40,0,-2.20221,0,-0.63494,0,1,0,1,0,0,0,1,0,0,0,0
8,45,-0.37244,0.67346,0,0,1,1,1,1,0,45,0,-0.37244,0,0.67346,0,0,0,0,0,1,0,1,0,1,0,0,0
9,25,-0.58626,0.06052,0,0,1,1,1,1,0,25,0,-0.58626,0,0.06052,0,0,0,0,0,1,0,1,0,1,0,0,0
10,14,1.81098,-1.06375,1,1,1,0,0,0,0,0,14,0,1.81098,0,-1.06375,0,1,0,1,0,1,0,1,0,0,0,0
11,20,0.13949,-0.85331,1,1,1,0,0,0,0,0,20,0,0.13949,0,-0.85331,0,1,0,1,0,1,0,1,0,0,0,0
12,30,-0.60306,-1.21166,0,0,0,1,0,1,1,0,30,0,-0.60306,0,-1.21166,0,0,0,0,0,0,0,1,0,1,0,1
